Fecha;Suma de Generación;Tipo fuente
2021-06-08;0,48963974;Solar
2021-06-09;2,34157972;Biomasa
2021-06-09;0,19439516;Eólica
2021-06-09;0,58171612;Solar
2021-06-10;1,99200145;Biomasa
2021-06-10;0,14773402;Eólica
2021-06-10;0,86603717;Solar
2021-06-11;2,30075056;Biomasa
2021-06-11;0,18596868;Eólica
2021-06-11;0,70086131;Solar
2021-06-12;2,62253947;Biomasa
2021-06-12;0,22729297;Eólica
2021-06-12;0,64137883;Solar
2021-06-13;2,71523789;Biomasa
2021-06-13;0,23317902;Eólica
2021-06-13;0,65939381;Solar
2021-06-14;2,39112336;Biomasa
2021-06-14;0,22217038;Eólica
2021-06-14;0,73901879;Solar
2021-06-15;1,79489497;Biomasa
2021-06-15;0,20196084;Eólica
2021-06-15;0,68441469;Solar
2021-06-16;1,60599823;Biomasa
2021-06-16;0,15885328;Eólica
2021-06-16;0,81045716;Solar
2021-06-17;1,85922631;Biomasa
2021-06-17;0,21151178;Eólica
2021-06-17;0,96742009;Solar
2021-06-18;2,11564109;Biomasa
2021-06-18;0,152125;Eólica
2021-06-18;0,60927206;Solar
2021-06-19;2,18386651;Biomasa
2021-06-19;0,24371644;Eólica
2021-06-19;0,70257868;Solar
2021-06-20;2,55518707;Biomasa
2021-06-20;0,27972276;Eólica
2021-06-20;0,64872169;Solar
2021-06-21;2,53390812;Biomasa
2021-06-21;0,26226797;Eólica
2021-06-21;0,89186372;Solar
2021-06-22;2,61054958;Biomasa
2021-06-22;0,18307554;Eólica
2021-06-22;0,7210478;Solar
2021-06-23;2,57005937;Biomasa
2021-06-23;0,16920711;Eólica
2021-06-23;0,77365394;Solar
2021-06-24;2,15014229;Biomasa
2021-06-24;0,16451352;Eólica
2021-06-24;0,79961895;Solar
2021-06-25;1,96421386;Biomasa
2021-06-25;0,16962526;Eólica
2021-06-25;0,84222297;Solar
2021-06-26;2,11209236;Biomasa
2021-06-26;0,07560319;Eólica
2021-06-26;0,50020854;Solar
2021-06-27;1,91223629;Biomasa
2021-06-27;0,10940839;Eólica
2021-06-27;1,01525208;Solar
2021-06-28;2,02903389;Biomasa
2021-06-28;0,20116021;Eólica
2021-06-28;0,87950307;Solar
2021-06-29;2,08004018;Biomasa
2021-06-29;0,24672081;Eólica
2021-06-29;1,01783056;Solar
2021-06-30;1,84175054;Biomasa
2021-06-30;0,2554167;Eólica
2021-06-30;0,74997377;Solar
2021-07-01;1,83740092;Biomasa
2021-07-01;0,15629256;Eólica
2021-07-01;0,8613201;Solar
2021-07-02;1,84144961;Biomasa
2021-07-02;0,16888281;Eólica
2021-07-02;0,91231143;Solar
2021-07-03;2,08533535;Biomasa
2021-07-03;0,02847581;Eólica
2021-07-03;0,82129287;Solar
2021-07-04;2,07117945;Biomasa
2021-07-04;0,09440429;Eólica
2021-07-04;0,71929734;Solar
2021-07-05;2,26144999;Biomasa
2021-07-05;0,22704948;Eólica
2021-07-05;0,85483238;Solar
2021-07-06;2,35218328;Biomasa
2021-07-06;0,25855718;Eólica
2021-07-06;0,87351156;Solar
2021-07-07;2,18734339;Biomasa
2021-07-07;0,26433309;Eólica
2021-07-07;0,90733967;Solar
2021-07-08;2,09073294;Biomasa
2021-07-08;0,32049604;Eólica
2021-07-08;0,75606534;Solar
2021-07-09;2,12012563;Biomasa
2021-07-09;0,25827639;Eólica
2021-07-09;0,61385036;Solar
2021-07-10;2,09435714;Biomasa
2021-07-10;0,24776941;Eólica
2021-07-10;0,54832112;Solar
2021-07-11;2,17043246;Biomasa
2021-07-11;0,23619492;Eólica
2021-07-11;0,85404881;Solar
2021-07-12;1,9080625;Biomasa
2021-07-12;0,25821748;Eólica
2021-07-12;1,09757853;Solar
2021-07-13;2,26098404;Biomasa
2021-07-13;0,29860318;Eólica
2021-07-13;0,85233429;Solar
2021-07-14;2,32743584;Biomasa
2021-07-14;0,21745822;Eólica
2021-07-14;0,66891706;Solar
2021-07-15;2,41400768;Biomasa
2021-07-15;0,21769767;Eólica
2021-07-15;0,94365595;Solar
2021-07-16;2,35918412;Biomasa
2021-07-16;0,26619545;Eólica
2021-07-16;0,90616374;Solar
2021-07-17;2,51271767;Biomasa
2021-07-17;0,28289263;Eólica
2021-07-17;0,81779204;Solar
2021-07-18;2,65732328;Biomasa
2021-07-18;0,27086953;Eólica
2021-07-18;0,75626918;Solar
2021-07-19;2,5358884;Biomasa
2021-07-19;0,23919066;Eólica
2021-07-19;0,88077048;Solar
2021-07-20;2,52540874;Biomasa
2021-07-20;0,17330128;Eólica
2021-07-20;0,99138635;Solar
2021-07-21;2,02112653;Biomasa
2021-07-21;0;Eólica
2021-07-21;0,85187768;Solar
2021-07-22;2,2338884;Biomasa
2021-07-22;0,07477109;Eólica
2021-07-22;0,94912947;Solar
2021-07-23;2,63881061;Biomasa
2021-07-23;0,28520869;Eólica
2021-07-23;0,83749708;Solar
2021-07-24;2,6032546;Biomasa
2021-07-24;0,21049632;Eólica
2021-07-24;0,73166557;Solar
2021-07-25;2,31772636;Biomasa
2021-07-25;0,01906195;Eólica
2021-07-25;0,55222875;Solar
2021-07-26;2,10056343;Biomasa
2021-07-26;0,04706174;Eólica
2021-07-26;0,59761976;Solar
2021-07-27;2,21928936;Biomasa
2021-07-27;0,12959911;Eólica
2021-07-27;0,76154569;Solar
2021-07-28;2,24882785;Biomasa
2021-07-28;0,16573966;Eólica
2021-07-28;0,97947293;Solar
2021-07-29;2,19578697;Biomasa
2021-07-29;0,21880953;Eólica
2021-07-29;0,8947689;Solar
2021-07-30;2,29193816;Biomasa
2021-07-30;0,21272197;Eólica
2021-07-30;0,60556084;Solar
2021-07-31;2,36909047;Biomasa
2021-07-31;0,27078762;Eólica
2021-07-31;0,97257205;Solar
2021-08-01;2,57321751;Biomasa
2021-08-01;0,29477862;Eólica
2021-08-01;0,95505302;Solar
2021-08-02;2,44949607;Biomasa
2021-08-02;0,24230238;Eólica
2021-08-02;0,69155407;Solar
2021-08-03;2,53542038;Biomasa
2021-08-03;0,14538724;Eólica
2021-08-03;0,6227924;Solar
2021-08-04;2,53719958;Biomasa
2021-08-04;0,05265191;Eólica
2021-08-04;0,84781352;Solar
2021-08-05;2,44861567;Biomasa
2021-08-05;0,21644109;Eólica
2021-08-05;0,79663891;Solar
2021-08-06;2,62848319;Biomasa
2021-08-06;0,2644239;Eólica
2021-08-06;0,81686889;Solar
2021-08-07;2,59721009;Biomasa
2021-08-07;0,23085302;Eólica
2021-08-07;0,81142434;Solar
2021-08-08;2,66240779;Biomasa
2021-08-08;0,17778774;Eólica
2021-08-08;0,88990704;Solar
2021-08-09;2,6109615;Biomasa
2021-08-09;0,16022475;Eólica
2021-08-09;0,89400689;Solar
2021-08-10;2,58616488;Biomasa
2021-08-10;0,24425254;Eólica
2021-08-10;0,76606566;Solar
2021-08-11;2,57936463;Biomasa
2021-08-11;0,0872753;Eólica
2021-08-11;0,9365499;Solar
2021-08-12;2,60365216;Biomasa
2021-08-12;0,10021945;Eólica
2021-08-12;0,89051156;Solar
2021-08-13;2,46704591;Biomasa
2021-08-13;0,13397533;Eólica
2021-08-13;0,83121491;Solar
2021-08-14;2,63225258;Biomasa
2021-08-14;0,04195089;Eólica
2021-08-14;0,54408631;Solar
2021-08-15;2,60643441;Biomasa
2021-08-15;0,03736358;Eólica
2021-08-15;0,98013726;Solar
2021-08-16;2,67112345;Biomasa
2021-08-16;0,02775734;Eólica
2021-08-16;0,67211914;Solar
2021-08-17;2,35988359;Biomasa
2021-08-17;0,12000057;Eólica
2021-08-17;0,66735445;Solar
2021-08-18;2,54872034;Biomasa
2021-08-18;0,18930602;Eólica
2021-08-18;0,83357931;Solar
2021-08-19;2,46282696;Biomasa
2021-08-19;0,18200203;Eólica
2021-08-19;0,65973643;Solar
2021-08-20;2,35812097;Biomasa
2021-08-20;0,02651957;Eólica
2021-08-20;0,92459795;Solar
2021-08-21;2,43454778;Biomasa
2021-08-21;0,14461224;Eólica
2021-08-21;1,15213837;Solar
2021-08-22;2,23887012;Biomasa
2021-08-22;0,20514453;Eólica
2021-08-22;0,77837277;Solar
2021-08-23;2,48083903;Biomasa
2021-08-23;0,2001035;Eólica
2021-08-23;1,0324188;Solar
2021-08-24;2,57144413;Biomasa
2021-08-24;0,12049863;Eólica
2021-08-24;0,9159244;Solar
2021-08-25;2,58156061;Biomasa
2021-08-25;0,00871042;Eólica
2021-08-25;0,80689223;Solar
2021-08-26;2,5176699;Biomasa
2021-08-26;0,01697466;Eólica
2021-08-26;0,97777732;Solar
2021-08-27;2,41850832;Biomasa
2021-08-27;0,12407957;Eólica
2021-08-27;0,95325622;Solar
2021-08-28;2,56727547;Biomasa
2021-08-28;0,20686783;Eólica
2021-08-28;0,99425378;Solar
2021-08-29;2,13239388;Biomasa
2021-08-29;0,21428408;Eólica
2021-08-29;0,72694128;Solar
2021-08-30;1,97644869;Biomasa
2021-08-30;0,1869081;Eólica
2021-08-30;0,60569534;Solar
2021-08-31;2,02276082;Biomasa
2021-08-31;0,03441112;Eólica
2021-08-31;0,83176286;Solar
2021-09-01;2,15829551;Biomasa
2021-09-01;0,06989304;Eólica
2021-09-01;0,90511552;Solar
2021-09-02;2,38735128;Biomasa
2021-09-02;0,13172982;Eólica
2021-09-02;1,10914506;Solar
2021-09-03;2,32264654;Biomasa
2021-09-03;0,19796357;Eólica
2021-09-03;0,97280931;Solar
2021-09-04;2,48525797;Biomasa
2021-09-04;0,16527924;Eólica
2021-09-04;0,80588935;Solar
2021-09-05;2,5336366;Biomasa
2021-09-05;0,10585952;Eólica
2021-09-05;0,77396948;Solar
2021-09-06;2,26139607;Biomasa
2021-09-06;0,14272944;Eólica
2021-09-06;0,61585469;Solar
2021-09-07;2,06235506;Biomasa
2021-09-07;0,02055174;Eólica
2021-09-07;0,80944087;Solar
2021-09-08;2,39782727;Biomasa
2021-09-08;0,08996693;Eólica
2021-09-08;0,97264746;Solar
2021-09-09;2,51515606;Biomasa
2021-09-09;0,15420342;Eólica
2021-09-09;0,9333358;Solar
2021-09-10;2,37100196;Biomasa
2021-09-10;0,21452526;Eólica
2021-09-10;0,76191962;Solar
2021-09-11;2,55196105;Biomasa
2021-09-11;0,24736989;Eólica
2021-09-11;0,72436296;Solar
2021-09-12;2,65714931;Biomasa
2021-09-12;0,17569937;Eólica
2021-09-12;0,87208492;Solar
2021-09-13;2,48439234;Biomasa
2021-09-13;0,14181251;Eólica
2021-09-13;0,90884277;Solar
2021-09-14;2,59601454;Biomasa
2021-09-14;0,09806545;Eólica
2021-09-14;1,14162857;Solar
2021-09-15;2,63284248;Biomasa
