Fecha;Tipo fuente;Suma de Generación
2021-11-23;Combustible fósil;29,69140179
2021-11-23;Hidráulica;181,5513397
2021-11-24;Combustible fósil;28,48456647
2021-11-24;Hidráulica;181,3874966
2021-11-25;Combustible fósil;27,54763597
2021-11-25;Hidráulica;181,1631777
2021-11-26;Combustible fósil;26,29704478
2021-11-26;Hidráulica;181,0615485
2021-11-27;Combustible fósil;26,03164881
2021-11-27;Hidráulica;173,7349408
2021-11-28;Combustible fósil;24,74718504
2021-11-28;Hidráulica;161,2625932
2021-11-29;Combustible fósil;27,67482824
2021-11-29;Hidráulica;180,7589784
2021-11-30;Combustible fósil;26,19429232
2021-11-30;Hidráulica;185,2100384
2021-12-01;Combustible fósil;27,02026231
2021-12-01;Hidráulica;183,8958245
2021-12-02;Combustible fósil;28,03742575
2021-12-02;Hidráulica;184,3745565
2021-12-03;Combustible fósil;28,98038078
2021-12-03;Hidráulica;185,7828322
2021-12-04;Combustible fósil;28,25185136
2021-12-04;Hidráulica;177,7297872
2021-12-05;Combustible fósil;26,70214962
2021-12-05;Hidráulica;161,0181648
2021-12-06;Combustible fósil;29,97288092
